Seanfhocail,Translation,Context,JPEG
Is fearr maol ná bheith gan cheann — ach níl ann ach san,Baldness is better than no head - but thats all,,
Is measa an ath-iompáil ná an chéad fhiabhras,The relapse is worse than the first fever,,
Is minic a báthadh duine i dtobar uisce,A person has often drowned in a well,,
Chífeadh sé ceann rua an fhrig,He could see the head of the louse,Good eyesight,
Radharc Caillighe Béara,The sight of the Hag of Beara,Someone who is good at predicting,
Is fearr súil sa chúinne ná dhá shúil ar fuaid an tighe,One eye on the corner is better than two eyes roaming around the house,Focus on one thing at a time,
D'aireochadh sé an féar ag fás,He could hear the grass growing,,
Ní h-í an áilneacht a chuireann an corcán ar fiuchaidh,It's not beauty that boils the pot,,
Bíonn an óige ar buile,The youth are wild,,
Is mairg ná baineann ceol as an óige an fhaid a bhíonn sí aige,Pity those who don't enjoy their youth while they have it,,
"Comhfhaidh a théigheann fuacht agus teas, comhfhaidh a théigheann fuath agus grádh.","Hot and cold co-operate, like love and hate co-operate",,
Uireasbha mhéaduigheas cumha,Absesne increases longing,Absence makes the heart grow fonder,
Is fuar cumann caillighe,The company of a hag is cold,,
Cleamhnas an chairn aoiligh nó cáirdeas Críost i bhfad amach,A relationship like a manure heap or a distant friendship with Christ,Used to describe a bad relationship,
Comhairle tar éis phósta nó aithrighe tar éis bháis,Advice after marriage or repentance after death,Useless acts,
Lá ar meisce is lá ag ól uisce,"One day drunk, one day drinking water",,
D'ólfadh sé an tSiúir,He would drink the (river) Suir,Someone who drinks relentlessly,
Dhá dtrian cainnte ag lucht póite,Two thirds of the talk is done by hungover people,,
Cé ná bíonn aon chnámh sa teangain is minic a bhris sí ceann duine,Though a tongue has no bones it has often broken someones head,,
Dhéanfadh sé cat is dá eirball,He'd make a cat with two tails,Boaster,
Leigheas gach bróin comhrádh,The cure for all sorrow is conversation,,
Mheallfadh sé a tharr ó'n siongán,He'd coax the fat from an ant,Someone persuasive,
Scéal ó Shamhain go Bealtaine,A story from November to May,A story that goes on and on,
Bíonn lán an tí leis an bhfocal amháin,The house can be full with just one word,A single word can carry great importance,
Is fuirist duine a mhealladh le teanga bhog,It's easy to decieve someone with a soft tongue,,
Déan do shuaimhneas agus lig don tsonas teacht,Find your peace and let happiness arrive,,
Ní thagann an grá gan an foighne,Love doesn't come without patience,,
Níl aon sonas gan saoirse,There is no happiness without freedom,,
Is deas an rud an beart a dhéanamh agus ní focal a rá,It's better to act than to speak,,
Déanann an duine a chumann an baile,It's the people who make the home,,
Déanann dearcadh an difríocht,Perspective makes a difference,,
"An té nach ndéanann a ghnó féin, is é a chaillfidh é",He who does not mind his own business will lose it,,
Is fearr rabhadh maith ná drochbhuille,A good warning is better than a bad blow,,
Bí go maith leis na daoine agus beidh siad go maith leat,Be good to people and they'll be good to you,,
"An té a mbíonn sé de nós aige dul go mall, tiocfaidh sé mall i gcónaí",He who in the habit of going slowly will always come slowly,,
Tóg do thón agus críochnóidh tú an obair,Lift your backside and you'll get the job done,,
"Ní thugann an saol an cheacht duit, mura mbíonn tú sásta éisteacht",Life won't teach you the lesson unless you're willing to listen,,
Fág rud níos fearr ná do chonair ag an áit a mbíonn tú,Leave something better than your path wherever you go,,
Ná caith cloch i ndiaidh an bhó tar éis a crúite,Don't throw a stone after milking a cow,Don't ruin a good thing after benefitting from it,
